,lemma,language,headline,definition,detail,href
0,آخر,ajp,Noun,end,"آخر الأسبوع
ʔāḵer il-ʔusbūʕ
the weekend",/wiki/%D8%A2%D8%AE%D8%B1
1,آخر,ajp,Adjective,"last, final","هاي آخر مرّة بستنّاك.
hāy ʔāḵer marra bastannāk
This is the last time I'm waiting for you.",/wiki/%D8%A2%D8%AE%D8%B1
2,آخر,ajp,Adjective,"last, most recent","مش عارف إيمتى آخر مرّة سمعت هالجملة.
miš ʕāref ʔēmta ʔāḵer marra smeʕt hal-jumle
I don't know when the last time I heard that sentence was.",/wiki/%D8%A2%D8%AE%D8%B1
3,آسف,ajp,Adjective,sorry,"انا آسف، نسيت أحكي معك مبارح.
ʔana ʔāsef, nsīt ʔaḥki maʕak mbāreḥ
I'm sorry, I forgot to talk with you yesterday.",/wiki/%D8%A2%D8%B3%D9%81
4,آلاف,ajp,Noun,"plural of ألف‎ (ʔalf, “thousand”)",,/wiki/%D8%A2%D9%84%D8%A7%D9%81
5,آلة,ajp,Noun,"machine, device","آلة تصوير
ʔālet taṣwīr
camera",/wiki/%D8%A2%D9%84%D8%A9
6,آلة,ajp,Noun,"apparatus, instrument",,/wiki/%D8%A2%D9%84%D8%A9
7,أباجور,ajp,Noun,"shutters, blinds (of a window)",,/wiki/%D8%A3%D8%A8%D8%A7%D8%AC%D9%88%D8%B1
8,أبعد,ajp,Verb,to move away,"لازم أبعد عن التلفون — هيك عمري ما بعمل إشي.
lāzem ʔabʕed ʕan it-tilfōn — hēk ʕomri mā baʕmal ʔiši
I have to get away from the phone — like this I won't ever get anything done.",/wiki/%D8%A3%D8%A8%D8%B9%D8%AF
9,أبعد,ajp,Verb,"(by extension) to deport, to banish, to exile, to expel",,/wiki/%D8%A3%D8%A8%D8%B9%D8%AF
10,أبيض,ajp,Adjective,white,,/wiki/%D8%A3%D8%A8%D9%8A%D8%B6
11,أثّر,ajp,Verb,"to affect, to influence (+ في‎)","الدوا مش مأثّر فيه.
id-dawa miš mʔaṯṯer fīh
The medicine doesn't affect him.",
12,أجار,ajp,Noun,rent,"قديش الأجار؟
ʔaddēš il-ʔajār?
How much is the rent?",/wiki/%D8%A3%D8%AC%D8%A7%D8%B1
13,أجنبي,ajp,Adjective,foreign,"لغة أجنبيّة
luḡa ʔajnabiyye
foreign language",/wiki/%D8%A3%D8%AC%D9%86%D8%A8%D9%8A
14,أجنبي,ajp,Noun,foreigner,,/wiki/%D8%A3%D8%AC%D9%86%D8%A8%D9%8A
